,Product Manager,Business Analyst,Data Scientist,Database Administrator
300,0.89,0.06,0.045,0.005
301,0.935,0.045,0.01,0.01
302,0.18,0.345,0.23,0.245
303,0.865,0.085,0.02,0.03
304,0.76,0.035,0.01,0.195
305,0.08,0.055,0.06,0.805
306,0.12,0.06,0.045,0.775
307,0.145,0.17,0.055,0.63
308,0.09,0.085,0.035,0.79
309,0.05,0.16,0.05,0.74
310,0.035,0.095,0.03,0.84
311,0.015,0.03,0.0,0.955
312,0.02,0.05,0.895,0.035
313,0.075,0.1,0.815,0.01
314,0.9,0.065,0.025,0.01
315,0.835,0.12,0.03,0.015
316,0.955,0.015,0.02,0.01
317,1.0,0.0,0.0,0.0
318,0.89,0.045,0.055,0.01
319,0.945,0.035,0.015,0.005
320,0.86,0.095,0.005,0.04
321,0.095,0.075,0.055,0.775
322,0.02,0.03,0.015,0.935
323,0.01,0.045,0.02,0.925
324,0.01,0.1,0.02,0.87
325,0.005,0.025,0.0,0.97
326,0.02,0.03,0.015,0.935
327,0.04,0.235,0.69,0.035
328,0.04,0.03,0.925,0.005
329,0.06,0.09,0.82,0.03
330,0.01,0.025,0.96,0.005
331,0.075,0.205,0.585,0.135
332,0.01,0.025,0.96,0.005
333,0.19,0.055,0.73,0.025
334,0.2,0.355,0.34,0.105
335,0.025,0.04,0.925,0.01
336,0.145,0.085,0.75,0.02
337,0.045,0.06,0.855,0.04
338,0.015,0.02,0.96,0.005
339,0.135,0.105,0.64,0.12
340,0.065,0.03,0.9,0.005
341,0.07,0.055,0.785,0.09
342,0.01,0.045,0.94,0.005
343,0.74,0.11,0.07,0.08
344,0.95,0.04,0.005,0.005
345,0.95,0.01,0.035,0.005
346,0.745,0.205,0.015,0.035
347,0.88,0.11,0.0,0.01
348,1.0,0.0,0.0,0.0
349,0.905,0.035,0.05,0.01
350,0.64,0.09,0.005,0.265
351,0.79,0.15,0.025,0.035
352,0.93,0.035,0.03,0.005
353,0.905,0.07,0.005,0.02
354,0.015,0.03,0.06,0.895
355,0.045,0.06,0.21,0.685
356,0.095,0.055,0.035,0.815
357,0.02,0.05,0.13,0.8
358,0.145,0.035,0.015,0.805
359,0.045,0.025,0.04,0.89
360,0.08,0.21,0.025,0.685
361,0.02,0.015,0.16,0.805
362,0.015,0.115,0.0,0.87
363,0.045,0.065,0.03,0.86
364,0.01,0.05,0.15,0.79
365,0.035,0.055,0.885,0.025
366,0.025,0.03,0.94,0.005
367,0.035,0.095,0.74,0.13
368,0.735,0.18,0.0,0.085
369,0.055,0.045,0.88,0.02
370,0.865,0.035,0.09,0.01
371,0.025,0.035,0.925,0.015
372,0.02,0.055,0.9,0.025
373,0.015,0.035,0.94,0.01
374,0.075,0.07,0.71,0.145
375,0.015,0.01,0.95,0.025
376,0.04,0.09,0.86,0.01
377,0.02,0.05,0.9,0.03
378,0.875,0.04,0.06,0.025
379,0.96,0.02,0.01,0.01
380,0.94,0.04,0.005,0.015
381,0.815,0.115,0.035,0.035
382,0.905,0.04,0.03,0.025
383,0.925,0.015,0.045,0.015
384,0.005,0.015,0.0,0.98
385,0.025,0.17,0.035,0.77
386,0.02,0.02,0.055,0.905
387,0.025,0.065,0.02,0.89
388,0.015,0.075,0.055,0.855
389,0.01,0.04,0.03,0.92
390,0.19,0.05,0.755,0.005
391,0.07,0.295,0.575,0.06
392,0.925,0.045,0.03,0.0
393,0.165,0.175,0.615,0.045
394,0.84,0.06,0.065,0.035
395,0.015,0.035,0.025,0.925
396,0.03,0.065,0.865,0.04
397,0.015,0.015,0.945,0.025
