,Product Manager,Database Administrator,Data Engineer,Data Scientist,Data Analyst,Business Analyst,Data Architect
381,0.02,0.09,0.665,0.015,0.115,0.075,0.02
382,0.095,0.075,0.07,0.135,0.285,0.31,0.03
383,0.005,0.005,0.03,0.17,0.74,0.045,0.005
384,0.01,0.035,0.03,0.06,0.7075,0.1375,0.02
385,0.06,0.35,0.1125,0.04,0.105,0.135,0.1975
386,0.015,0.01,0.02,0.915,0.02,0.01,0.01
387,0.0,0.0,0.01,0.97,0.015,0.005,0.0
388,0.025,0.04,0.675,0.04,0.05,0.1,0.07
389,0.175,0.0,0.685,0.12,0.005,0.01,0.005
390,0.02,0.015,0.7120000000000001,0.078,0.0975,0.0575,0.02
391,0.02,0.03,0.05,0.115,0.015,0.055,0.715
392,0.465,0.055,0.09,0.065,0.05,0.22,0.055
393,0.91,0.005,0.02,0.005,0.025,0.035,0.0
394,0.02,0.81,0.025,0.0,0.07,0.05,0.025
395,0.29,0.07,0.085,0.285,0.08,0.135,0.055
396,0.01,0.02,0.65,0.155,0.075,0.05,0.04
397,0.015,0.005,0.03,0.85,0.07375,0.01625,0.01
398,0.805,0.04,0.035,0.035,0.03,0.05,0.005
399,0.06,0.01,0.05,0.74,0.075,0.06,0.005
400,0.045,0.035,0.02,0.635,0.02,0.2,0.045
401,0.19,0.0,0.015,0.685,0.03,0.075,0.005
402,0.07,0.09,0.17,0.215,0.215,0.14,0.1
403,0.01,0.015,0.705,0.045,0.04,0.115,0.07
404,0.135,0.06,0.285,0.1,0.145,0.14,0.135
405,0.03,0.055,0.055,0.065,0.07,0.065,0.66
406,0.02,0.05,0.05125,0.01,0.06,0.05,0.75875
407,0.115,0.11,0.0975,0.08,0.055,0.13,0.4125
408,0.01,0.065,0.015,0.01,0.055,0.155,0.69
409,0.005,0.185,0.025,0.0,0.005,0.02,0.76
410,0.875,0.0,0.01875,0.01,0.035,0.055,0.00625
411,0.885,0.005,0.005,0.025,0.02,0.055,0.005
412,0.025,0.56,0.071,0.015,0.12,0.1,0.109
413,0.02,0.205,0.135,0.0325,0.09,0.43,0.0875
414,0.02,0.845,0.01,0.0,0.035,0.075,0.015
415,0.015,0.005,0.015,0.86,0.08,0.01,0.015
416,0.07,0.01,0.01,0.755,0.085,0.055,0.015
417,0.01,0.025,0.025,0.835,0.07,0.015,0.02
